Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,2168-2267,2168-2275,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",38676,19.118,3.21,2.59%,3/145,15.981,Q1,15.526,4.095,7/190,Q1,96.58,0.056,12.093,3.433,98.28,Q1,Q1,1290,99.84%,2.8,5.7,NA
PATTERN RECOGNITION,PATTERN RECOGN,0031-3203,1873-5142,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",37829,8.518,1.92,3.47%,22/145,8.41,Q1,6.809,1.91,16/190,Q1,91.84,0.031,6.557,1.69,85.17,Q1,Q1,742,99.73%,6.9,5,740
IEEE Internet of Things Journal,IEEE INTERNET THINGS,2327-4662,2327-4662,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",34730,10.238,2.77,4.74%,9/164,11.043,Q1,8.784,3.114,6/246,Q1,97.76,0.05,10.763,2.024,94.82,Q1,Q1,1341,97.84%,2.4,4.4,NA
Journal of Chemical Information and Modeling,J CHEM INF MODEL,1549-9596,1549-960X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",30162,6.162,1.36,11.03%,29/164,6.028,Q1,5.562,1.349,37/246,Q1,85.16,0.021,4.533,1.237,82.62,Q1,Q1,542,98.71%,7.9,8,535
MACHINE LEARNING,MACH LEARN,0885-6125,1573-0565,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",30019,5.414,0.85,37.5%,40/145,5.808,Q2,5.225,0.704,64/190,Q2,66.58,0.006,1.237,1.643,72.76,Q2,Q1,159,99.37%,20.7,7.2,158
MIS QUARTERLY,MIS QUART,0276-7783,NA,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",29352,8.513,1.82,0%,14/164,12.413,Q1,8.077,1.641,19/246,Q1,92.48,0.01,2.113,3.621,91.77,Q1,Q1,78,94.87%,14.4,11.8,74
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1872-7409,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",28857,8.139,1.56,2.73%,24/145,8.153,Q1,7.194,2.189,27/190,Q1,86.05,0.03,6.365,1.351,83.79,Q1,Q1,948,98.95%,3.8,5.1,938
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1557-7317,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",26575,14.065,3.49,0%,2/54,17.213,Q1,13.891,1.682,1/62,Q1,99.19,0.02,4.225,4.416,97.22,Q1,Q1,88,82.95%,12.9,5.9,73
IEEE Transactions on Systems Man Cybernetics-Systems,IEEE T SYST MAN CY-S,2168-2216,2168-2232,"COMPUTER SCIENCE, CYBERNETICS - SCIE",26377,11.471,2.46,2.02%,3/24,11.809,Q1,9.186,5.244,2/32,Q1,95.31,0.028,6.037,2.22,89.58,Q1,Q1,1029,99.9%,2.9,5.9,NA
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,NA,1553-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",26129,33.84,8.42,15.36%,1/164,32.099,Q1,32.778,5.321,1/246,Q1,99.8,0.038,8.273,7.32,99.7,Q1,Q1,81,97.53%,4.4,4.5,79
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",25583,12.253,2.87,1.75%,11/145,11.637,Q1,11.2,8.344,10/190,Q1,95,0.022,4.702,2.174,92.76,Q1,Q1,326,100%,4.1,6.5,326
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",23717,9.657,1.87,10.17%,16/145,8.966,Q1,8.918,1.144,18/190,Q1,90.79,0.02,4.3,1.955,89.31,Q1,Q1,418,98.33%,6.7,5.6,411
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,0941-0643,1433-3058,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",23402,5.102,1.05,6.25%,45/145,5.13,Q2,4.672,1.019,47/190,Q1,75.53,0.025,5.36,0.745,69.31,Q2,Q2,1111,97.3%,2.6,5.1,NA
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",23067,13.369,2.92,21.04%,10/145,11.478,Q1,13.099,1.915,9/190,Q1,95.53,0.017,3.727,3.467,93.45,Q1,Q1,130,99.23%,8.5,4.8,129
NEURAL COMPUTATION,NEURAL COMPUT,0899-7667,1530-888X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",22519,3.278,0.5,5.2%,75/145,3.866,Q2,3.101,1,112/190,Q3,41.32,0.005,1.015,1.058,48.62,Q3,Q2,111,98.2%,24,8.8,109
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",20841,16.497,3.55,5.86%,5/145,16.815,Q1,15.113,3.025,6/190,Q1,97.11,0.011,2.437,3.452,96.9,Q1,Q1,80,100%,12.2,6.3,80
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,1573-7721,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",20521,2.577,0.76,3.95%,107/164,2.395,Q3,2.206,0.641,103/246,Q2,58.33,0.024,5.259,0.347,35.06,Q3,Q4,1397,98.57%,2.8,5.5,NA
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,1041-4347,1558-2191,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",20454,9.235,1.75,5.75%,18/145,8.032,Q1,9.048,3.305,25/190,Q1,87.11,0.017,3.682,1.87,87.93,Q1,Q1,269,99.63%,7.2,8.4,268
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT,0167-8655,1872-7344,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",18442,4.757,0.91,3.24%,53/145,4.253,Q2,4.502,1.041,59/190,Q2,69.21,0.013,2.755,0.804,63.79,Q2,Q2,364,100%,8.4,4.9,364
SOFT COMPUTING,SOFT COMPUT,1432-7643,1433-7479,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",17142,3.732,0.8,3.59%,65/145,3.524,Q3,3.423,0.809,73/190,Q2,61.84,0.019,4.098,0.531,55.52,Q2,Q3,925,99.57%,2.7,5.8,921
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",16080,13.828,2.52,19.09%,9/145,14.934,Q1,12.305,2.693,11/190,Q1,94.47,0.02,4.237,3.24,94.14,Q1,Q1,420,98.1%,4.4,4.9,412
DECISION SUPPORT SYSTEMS,DECIS SUPPORT SYST,0167-9236,1873-5797,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",15272,6.969,1.38,8.42%,33/145,8.191,Q1,6.18,1.721,31/190,Q1,83.95,0.008,1.625,1.413,77.59,Q1,Q1,140,92.86%,8.5,7.8,130
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,J AM MED INFORM ASSN,1067-5027,1527-974X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",15055,7.942,1.83,29.51%,18/164,7.041,Q1,7.11,1.833,18/246,Q1,92.89,0.019,3.999,1.98,89.33,Q1,Q1,365,90.14%,5.9,5.2,329
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",14899,14.05,0.78,14.24%,7/145,11.616,Q1,13.777,3.738,76/190,Q2,60.26,0.013,2.754,3.325,95.52,Q1,Q1,130,99.23%,11.2,9,129
Electronics,ELECTRONICS-SWITZ,NA,2079-9292,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",14393,2.69,0.61,96.07%,100/164,2.657,Q3,2.205,0.772,132/246,Q3,46.54,0.014,3.105,0.35,39.33,Q3,Q4,3110,94.31%,1.9,5.1,NA
ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,ENG APPL ARTIF INTEL,0952-1976,1873-6769,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",13571,7.802,1.86,4.08%,27/145,6.694,Q1,7.219,1.533,19/190,Q1,90.26,0.012,2.537,1.061,81.72,Q1,Q2,411,98.3%,4.2,5.3,404
INFORMATION & MANAGEMENT,INFORM MANAGE-AMSTER,0378-7206,1872-7530,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",13322,10.328,2.5,6.9%,7/164,11.37,Q1,9.81,1.968,8/246,Q1,96.95,0.008,1.69,1.914,96.04,Q1,Q1,124,95.16%,7.9,10.5,118
Information Fusion,INFORM FUSION,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",13268,17.564,4.23,6.81%,4/145,16.58,Q1,16.072,4.577,4/190,Q1,98.16,0.017,3.609,3.176,97.59,Q1,Q1,239,94.98%,3,4.6,227
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,1520-9210,1941-0077,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",13011,8.182,2.26,3.07%,17/164,7.356,Q1,7.136,1.989,9/246,Q1,96.54,0.02,4.344,1.823,89.94,Q1,Q1,352,99.72%,3.8,5.3,351
Computer Networks,COMPUT NETW,1389-1286,1872-7069,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",12897,5.493,1.28,5.97%,9/54,4.581,Q1,5.176,1.073,12/62,Q1,81.45,0.011,2.382,0.759,84.26,Q1,Q2,467,98.07%,4.9,4.7,458
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,0169-7439,1873-3239,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",12344,4.175,1.1,6.94%,59/145,3.818,Q2,3.869,0.845,43/190,Q1,77.63,0.006,1.243,0.656,59.66,Q2,Q3,174,98.28%,10.8,7.5,171
IEEE Systems Journal,IEEE SYST J,1932-8184,1937-9234,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",11698,4.802,1.23,2.58%,48/164,4.81,Q2,4.11,1.561,48/246,Q1,80.69,0.015,3.127,0.888,71.04,Q2,Q2,941,99.26%,2.9,5.3,934
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2168-2194,2168-2208,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",11304,7.021,1.71,10.63%,23/164,6.968,Q1,6.616,2.086,22/246,Q1,91.26,0.014,3.033,1.301,86.28,Q1,Q1,409,99.27%,3.3,5.8,406
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,J INTELL FUZZY SYST,1064-1246,1875-8967,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",10814,1.737,0.32,0.25%,113/145,1.664,Q4,1.434,0.459,147/190,Q4,22.89,0.01,2.085,0.209,22.41,Q4,Q4,1461,99.73%,3.1,5.5,NA
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,1095-8592,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",10623,7.574,1.57,4.44%,5/54,6.602,Q1,7.078,2.307,6/62,Q1,91.13,0.012,2.53,1.071,91.67,Q1,Q1,189,86.77%,4.2,4.4,164
Proceedings of the VLDB Endowment,PROC VLDB ENDOW,2150-8097,2150-8097,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",10242,3.557,0.96,0%,74/164,4.138,Q2,2.749,0.312,72/246,Q2,70.93,0.009,1.92,0.848,55.18,Q2,Q2,266,100%,6.4,5.6,266
IEEE TRANSACTIONS ON MOBILE COMPUTING,IEEE T MOBILE COMPUT,1536-1233,1558-0660,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",9932,6.075,1.68,7.07%,30/164,5.03,Q2,5.829,3.903,23/246,Q1,90.85,0.011,2.437,1.082,82.01,Q1,Q1,236,100%,4.2,6.7,236
IEEE TRANSACTIONS ON COMPUTERS,IEEE T COMPUT,0018-9340,1557-9956,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",9821,3.183,0.77,7.16%,21/54,3.119,Q2,3.065,1.304,24/62,Q2,62.1,0.006,1.385,0.761,62.04,Q2,Q2,168,100%,8.9,6.6,168
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,1536-1284,1558-0687,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",9679,12.777,3.34,0%,3/54,11.497,Q1,12.453,1.385,2/62,Q1,97.58,0.017,3.671,3.066,95.37,Q1,Q1,148,100%,4,2.8,148
IEEE Wireless Communications Letters,IEEE WIREL COMMUN LE,2162-2337,2162-2345,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",9546,5.281,1.58,3.8%,38/164,4.874,Q2,4.867,1.128,26/246,Q1,89.63,0.02,4.256,1.349,77.13,Q1,Q1,577,100%,2.7,3.7,577
ISPRS International Journal of Geo-Information,ISPRS INT J GEO-INF,NA,2220-9964,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",9360,3.099,0.76,96.73%,88/164,3.165,Q3,2.601,0.796,103/246,Q2,58.33,0.012,2.484,0.498,46.65,Q3,Q3,819,98.05%,3,6.5,803
IEEE NETWORK,IEEE NETWORK,0890-8044,1558-156X,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",8874,10.294,2.89,0%,4/54,9.875,Q1,9.769,1.756,4/62,Q1,94.35,0.015,3.179,2.272,93.52,Q1,Q1,250,99.6%,2.9,3,249
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,J MANAGE INFORM SYST,0742-1222,1557-928X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",8774,7.582,2.1,11.67%,19/164,10.589,Q1,6.519,1.024,14/246,Q1,94.51,0.005,1.054,2.622,88.72,Q1,Q1,41,100%,12,8.5,41
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,INT J GEOGR INF SCI,1365-8816,1362-3087,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",8742,5.152,1.36,11.94%,40/164,5.081,Q1,4.862,0.881,37/246,Q1,85.16,0.006,1.212,0.957,75.91,Q1,Q2,84,95.24%,8.2,7.8,80
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM T NETWORK,1063-6692,1558-2566,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",8721,3.796,1.05,15.42%,17/54,4.08,Q2,3.551,0.488,16/62,Q2,75,0.011,2.301,0.988,69.44,Q2,Q1,285,100%,5.6,6.7,285
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,INT J MED INFORM,1386-5056,1872-8243,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",8716,4.73,1.09,14.89%,52/164,5.076,Q2,4.554,0.927,55/246,Q1,77.85,0.009,1.948,1.033,68.6,Q2,Q2,219,85.84%,5.2,5.5,188
COMPUTER COMMUNICATIONS,COMPUT COMMUN,0140-3664,1873-703X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",8637,5.047,1.24,2.6%,43/164,4.07,Q2,4.802,1.169,46/246,Q1,81.5,0.009,1.863,0.649,74.09,Q2,Q2,367,95.37%,2.9,4.6,350
COMPUTER,COMPUTER,0018-9162,1558-0814,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",8608,2.256,0.71,5.7%,33/54,4.658,Q1,2.143,0.344,29/62,Q2,54.03,0.005,1.177,1.049,39.81,Q3,Q1,128,100%,12.2,4.4,128
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,0921-8890,1872-793X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",8569,3.7,0.84,5.87%,67/145,4.125,Q2,3.509,0.963,68/190,Q2,64.47,0.007,1.578,0.851,54.14,Q2,Q2,161,96.89%,6.4,6.6,156
INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,0306-4573,1873-5371,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",8549,7.466,2.15,6.34%,20/164,7.036,Q1,5.91,2.808,13/246,Q1,94.92,0.006,1.341,1.069,88.11,Q1,Q1,338,97.63%,3.7,4.3,330
APPLIED INTELLIGENCE,APPL INTELL,0924-669X,1573-7497,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",8493,5.019,0.93,5.02%,46/145,4.76,Q2,4.244,0.683,58/190,Q2,69.74,0.009,1.832,0.686,68.62,Q2,Q2,839,99.76%,2.9,4.7,837
Journal of Ambient Intelligence and Humanized Computing,J AMB INTEL HUM COMP,1868-5137,1868-5145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",8357,3.662,0.94,3.22%,68/145,3.718,Q2,3.096,0.91,57/190,Q2,70.26,0.008,1.76,0.448,53.45,Q2,Q3,911,98.79%,1.9,5,900
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,0018-9529,1558-1721,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",8108,5.883,1.56,4.02%,7/54,5.15,Q1,5.342,1.571,7/62,Q1,89.52,0.005,1.13,1.01,87.96,Q1,Q1,177,99.44%,8.5,7.1,176
COMPUTERS & SECURITY,COMPUT SECUR,0167-4048,1872-6208,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",8076,5.105,1.4,7.06%,42/164,5.299,Q1,4.585,1.039,34/246,Q1,86.38,0.008,1.619,0.82,74.7,Q2,Q2,381,96.06%,3.8,5.7,366
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,0045-7906,1879-0755,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",7896,4.152,0.99,1.81%,15/54,3.615,Q2,3.951,0.767,18/62,Q2,71.77,0.008,1.649,0.539,73.15,Q2,Q3,481,99.38%,3.7,4.7,478
JOURNAL OF THE ACM,J ACM,0004-5411,1557-735X,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",7894,2.269,0.74,0%,32/54,2.889,Q2,2.179,0.279,26/62,Q2,58.87,0.005,1.014,2.39,41.67,Q3,Q1,43,100%,24.8,11,43
ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,0146-4833,1943-5819,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",7821,1.937,0.44,0%,124/164,2.247,Q3,1.861,0.182,158/246,Q3,35.98,0.001,0.19,0.575,24.7,Q4,Q3,22,100%,9.8,5.4,22
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,0884-8173,1098-111X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",7799,8.993,1.83,2.83%,20/145,8.926,Q1,7.532,1.282,20/190,Q1,89.74,0.005,1.114,1.067,86.55,Q1,Q2,425,99.29%,3.7,4.4,422
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,0956-5515,1572-8145,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",7649,7.136,1.48,9.87%,31/145,6.207,Q1,6.235,1.171,28/190,Q1,85.53,0.007,1.482,0.906,78.97,Q1,Q2,152,94.08%,3.5,5.3,143
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,2210-6502,2210-6510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",7569,10.267,2.13,2.45%,14/145,9.8,Q1,9.342,2.852,15/190,Q1,92.37,0.008,1.728,1.629,90.69,Q1,Q1,142,97.18%,3.2,7.5,138
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES,1076-9757,1943-5037,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",7528,3.635,0.69,25.41%,69/145,4.314,Q2,3.56,1.094,83/190,Q2,56.58,0.005,0.984,1.34,52.76,Q2,Q1,85,97.65%,17.3,7.2,83
Journal of Cheminformatics,J CHEMINFORMATICS,1758-2946,1758-2946,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",7357,8.489,1.51,100%,15/164,9.187,Q1,7.73,1.531,28/246,Q1,88.82,0.007,1.436,2.052,91.16,Q1,Q1,96,100%,6.7,6,96
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",7204,9.588,1.47,7.66%,17/145,8.946,Q1,9.22,1.924,29/190,Q1,85,0.007,1.461,1.489,88.62,Q1,Q1,171,75.44%,2.8,5.4,129
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,IEEE T COMPUT AID D,0278-0070,1937-4151,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",7188,2.565,0.72,8.63%,30/54,2.749,Q2,2.383,1.256,27/62,Q2,57.26,0.006,1.365,0.548,45.37,Q3,Q2,207,100%,5.9,6.8,207
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,IEEE T VLSI SYST,1063-8210,1557-9999,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE - SCIE",6942,2.775,0.72,9.64%,28/54,2.496,Q3,2.567,0.656,27/62,Q2,57.26,0.008,1.671,0.558,49.07,Q3,Q2,218,100%,5.4,6.1,218
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,1071-5819,1095-9300,"COMPUTER SCIENCE, CYBERNETICS - SCIE",6726,4.866,1.2,14.5%,6/24,4.435,Q2,4.616,1.533,4/32,Q1,89.06,0.004,0.81,0.88,77.08,Q1,Q2,107,97.2%,10.5,8.6,104
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,1090-235X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",6562,4.886,1.08,7.8%,50/145,4.306,Q2,4.771,0.682,44/190,Q1,77.11,0.006,1.314,1.09,65.86,Q2,Q2,107,97.2%,8.2,4.9,104
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,0950-5849,1873-6025,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",6537,3.862,1.04,9.8%,68/164,4.126,Q2,3.403,0.949,62/246,Q2,75,0.005,1.058,0.809,58.84,Q2,Q2,196,88.78%,6.6,7.5,174
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,1474-0346,1873-5320,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",6428,7.862,1.79,5.54%,26/145,7.605,Q1,6.431,1.172,22/190,Q1,88.68,0.005,1.092,1.101,82.41,Q1,Q2,209,96.65%,4.3,5.5,202
