,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
10,2-s2.0-85078998096,10.1155/2020/5458941,,,Modeling Repayment Behavior of Consumer Loan in Portfolio across Business Cycle: A Triplet Markov Model Approach,ar,Article,Chen S.,60032356,Hunan University,Changsha,China,2,"Chen, Shou;Jiang, Xiangqian",56398669800;57214721383,60032356;60032356,2020-01-01,2020,Complexity,10762787,25823,10990526,Journal,2020,,5458941,,"With a view to develop a more realistic model for credit risk analysis in consumer loan, our paper addresses the problem of how to incorporate business cycles into a repayment behavior model of consumer loan in portfolio. A particular Triplet Markov Model (TMM) is presented and introduced to describe the dynamic repayment behavior of consumers. The particular TMM can simultaneously capture the phases of business cycles, transition of systematic credit risk of a loan portfolio, and Markov repayment behavior of consumers. The corresponding Markov chain Monte Carlo algorithms of the particular TMM are also developed for estimating the model parameters. We show how the transition of consumers' repayment states and systematic credit risk of a loan portfolio are affected by the phases of business cycles through simulations.",,6,1,publisherfullgold,Gold,,undefined,
11,2-s2.0-85066048298,10.1002/asmb.2458,,,Mover-stayer model with covariate effects on stayer's probability and mover's transitions,ar,Article,Frydman H.,60108316;60016640;60003269;60003261,Leonard N. Stern School of Business;Szkola Glówna Handlowa w Warszawie;Princeton University;Courant Institute of Mathematical Sciences,New York;Warsaw;Princeton;New York,United States;Poland;United States;United States,4,"Frydman, H.;Matuszyk, A.;Li, C.;Zhu, W.",6603144195;35727858700;57208887782;57208887431,60108316;60016640;60003269;60003261,2019-09-01,1 September 2019,Applied Stochastic Models in Business and Industry,15241904,25195,15264025,Journal,35,5,,1171-1184,"A discrete time Markov chain assumes that the population is homogeneous, each individual in the population evolves according to the same transition matrix. In contrast, a discrete mover-stayer (MS) model postulates a simple form of population heterogeneity; in each initial state, there is a proportion of individuals who never leave this state (stayers) and the complementary proportion of individuals who evolve according to a Markov chain (movers). The MS model was extended by specifying the stayer's probability to be a logistic function of an individual's covariates but leaving the same transition matrix for all movers. We further extend the MS model by allowing each mover to have her/his covariates dependent transition matrix. The model for a mover's transition matrix is related to the extant Markov chains mixture model with mixing on the speed of movement of Markov chains. The proposed model is estimated using the expectation-maximization algorithm and illustrated with a large data set on car loans and the simulation.",covariate effects | credit risk | discrete-time mover-stayer model | EM algorithm,3,0,,,,undefined,
12,2-s2.0-85045281713,10.1080/03610926.2018.1459715,,,The pricing of defaultable bonds under a regime-switching jump-diffusion model with stochastic default barrier,ar,Article,Xu C.,60073673;60015150;60010432,Suzhou University of Science and Technology;Imperial College London;Soochow University,Suzhou;London;Suzhou,China;United Kingdom;China,3,"Xu, Chao;Dong, Yinghui;Wang, Guojing",57201557090;23969884300;55963743200,60073673;60073673-60015150;60010432,2019-05-03,3 May 2019,Communications in Statistics - Theory and Methods,03610926,28921,1532415X,Journal,48,9,,2185-2205,"In this paper, we investigate the price for the zero-coupon defaultable bond under a structural form credit risk with regime switching. We model the value of a firm and the default threshold by two dependent regime-switching jump-diffusion processes, in which the Markov chain represents the states of an economy. The price is associated with the Laplace transform of the first passage time and the expected discounted ratio of the firm value to the default threshold at default. Closed-form results used for calculating the price are derived when the jump sizes follow a regime-switching double exponential distribution. We present some numerical results for the price of the zero-coupon defaultable bond via Gaver-Stehfest algorithm.",Defaultable bond | Jump-diffusion process | Laplace transform | Regime switching | Stochastic default barrier,4,0,,,NSFC,BK20170064,National Natural Science Foundation of China
13,2-s2.0-85067251884,10.1002/asmb.2336,,,Assessing Markov property in multistate transition models with applications to credit risk modeling,ar,Article,Yang H.,122703142,Corporate Risk Group,Port Charlotte,United States,4,"Yang, Hanyu;Nair, Vijayan N.;Chen, Jie;Sudjianto, Agus",57226173056;57221142946;57221654750;57219492623,122703142;122703142;122703142;122703142,2019-05-01,May/June 2019,Applied Stochastic Models in Business and Industry,15241904,25195,15264025,Journal,35,3,,552-570,"Multistate transition models are increasingly used in credit risk applications as they allow us to quantify the evolution of the process among different states. If the process is Markov, analysis and prediction are substantially simpler, so analysts would like to use these models if they are applicable. In this paper, we develop a procedure for assessing the Markov hypothesis and discuss different ways of implementing the test procedure. One issue when sample size is large is that the statistical test procedures will detect even small deviations from the Markov model when these differences are not of practical interest. To address this problem, we propose an approach to formulate and test the null hypothesis of “weak non-Markov.” The situation where the transition probabilities are heterogeneous is also examined, and approaches to accommodate this case are indicated. Simulation studies are used extensively to study the properties of the procedures, and two applications are to illustrate the results.",Chapman-Kolmogorov equation | Markov hypothesis test | non-Markov processes | risk management | weak hypothesis,2,0,,,,undefined,
14,2-s2.0-85060709473,10.1016/j.engappai.2019.01.010,S0952197619300107,,Reinforcement learning for pricing strategy optimization in the insurance industry,ar,Article,Krasheninnikova E.,60096819;60001741,BBVA S.A.;Universidad Carlos III de Madrid,Bilbao;Getafe,Spain;Spain,4,"Krasheninnikova, Elena;García, Javier;Maestre, Roberto;Fernández, Fernando",57205596037;57196717269;57204770846;7401589140,60096819;60001741;60096819;60001741,2019-04-01,April 2019,Engineering Applications of Artificial Intelligence,09521976,24182,,Journal,80,,,8-19,"Pricing is a fundamental problem in the banking sector, and is closely related to a number of financial products such as credit scoring or insurance. In the insurance industry an important question arises, namely: how can insurance renewal prices be adjusted? Such an adjustment has two conflicting objectives. On the one hand, insurers are forced to retain existing customers, while on the other hand insurers are also forced to increase revenue. Intuitively, one might assume that revenue increases by offering high renewal prices, however this might also cause many customers to terminate their contracts. Contrarily, low renewal prices help retain most existing customers, but could negatively affect revenue. Therefore, adjusting renewal prices is a non-trivial problem for the insurance industry. In this paper, we propose a novel modelization of the renewal price adjustment problem as a sequential decision problem and, consequently, as a Markov decision process (MDP). In particular, this study analyzes two different strategies to carry out this adjustment. The first is about maximizing revenue analyzing the effect of this maximization on customer retention, while the second is about maximizing revenue subject to the client retention level not falling below a given threshold. The former case is related to MDPs with a single criterion to be optimized. The latter case is related to Constrained MDPs (CMDPs) with two criteria, where the first one is related to optimization, while the second is subject to a constraint. This paper also contributes with the resolution of these models by means of a model-free Reinforcement Learning algorithm. Results have been reported using real data from the insurance division of BBVA, one of the largest Spanish companies in the banking sector.",Pricing strategy optimization | Reinforcement learning,26,0,repositoryam,Green,MINECO,2016-T2/TIC-1712,Comunidad de Madrid
15,2-s2.0-85053416372,10.1007/s10489-018-1253-8,,,Dynamic weighted ensemble classification for credit scoring using Markov Chain,ar,Article,Feng X.,60026295;60023380,Shanxi University of Finance and EcoNomics;Chongqing University,Taiyuan;Chongqing,China;China,5,"Feng, Xiaodong;Xiao, Zhi;Zhong, Bo;Dong, Yuanxiang;Qiu, Jing",57200505349;7402447107;57204589180;54884631800;57201597574,60023380;60023380;60023380;60026295;60023380,2019-02-15,15 February 2019,Applied Intelligence,0924669X,23674,15737497,Journal,49,2,,555-568,"As the ensemble methods achieve significantly better performances than individual models do, they have been widely applied to credit scoring. However, most of them employ a static combiner to combine base classifiers, which do not consider the base classifiers’ characters and their dynamic classification ability. Though some dynamic ensemble methods are proposed, they need to produce a large number of base classifiers or employ a fixed combiner, which limit the generality of the ensemble methods. In this paper, we propose a new dynamic weighted ensemble method for credit scoring. Markov Chain is employed to model the change of each classifier’s classification ability and build a dynamic weighted trainable combiner, which dynamically assign weights to the base classifiers for each sample in the testing set. Through eight credit data sets from the real world, the experimental study demonstrates the ability and efficiency of the dynamic weighted ensemble method to improve prediction performance against the benchmark models, including some well-known individual classifiers and dynamic ensemble methods. Moreover, the proposed method can effectively decrease the misclassification cost, which can reduce risks for the financial institutions.",Credit scoring | Dynamic weighted ensemble | Machine learning | Markov chain,29,0,,,NSFC,71671019,National Natural Science Foundation of China
16,2-s2.0-85089938336,10.1109/ACCESS.2019.2934516,,,Estimation and forecasting of sovereign credit rating migration based on regime switching markov chain,ar,Article,Oh S.Y.,60024872;60013682;60003780,Hanyang University;Seoul National University;Samsung Electronics Co. Ltd.,Seoul;Seoul;Suwon,South Korea;South Korea;South Korea,4,"Oh, Sung Youl;Song, Jae Wook;Chang, Woojin;Lee, Minhyuk",57218657741;56912576300;55916247700;57193358693,60013682;60024872;60013682;60003780,2019-01-01,2019,IEEE Access,,21100374601,21693536,Journal,7,,8794496,115317-115330,"Our research aims to develop the regime switching Markov chain (RSMC), a discrete time Markov chain whose underlying regime is depending on a hidden Markov model, which express the dynamics of sovereign credit rating migration. Estimated based on a version of the Expectation-Maximization algorithm, the regime in RSMC indicates either economic expansion or contraction. Then, we apply RSMC to the monthly time series of the sovereign credit rating of 41 nations from January 1994 to December 2018. At first, we confirm that the estimation of RSMC is superior to a homogeneous Markov chain. It implies that the credit rating dynamics are subject to the underlying economic condition. Secondly, we observe that the second tier and non-investment credit ratings in economic contractions are likely to be downgraded. We also detect the continental clustering of economic contractions for the Asian currency and European sovereign debt crises. Lastly, we discover that the forecasting performance of RSMC is superior to that of the benchmark, especially for the second tier and non-investment credit ratings. In conclusion, we claim that RSMC can improve the management of sovereign credit risk exposures.",Credit migration | Economic forecasting | Hidden Markov models | Markov processes | Regime switching | Sovereign credit rating,5,1,publisherfullgold,Gold,NRF,2018R1C1B5043835,National Research Foundation of Korea
17,2-s2.0-85044339989,10.1080/03461238.2018.1452285,,,Moments of renewal shot-noise processes and their applications,ar,Article,Jang J.,60127974;60032744;60019544;60003059,Shanghai Institute of International Finance and Economics;Shanghai University of Finance and Economics;Macquarie University;London School of Economics and Political Science,Shanghai;Shanghai;Sydney;London,China;China;Australia;United Kingdom,3,"Jang, Jiwook;Dassios, Angelos;Zhao, Hongbiao",16241447400;6508198039;55798861200,60019544;60003059;60032744-60127974,2018-09-14,14 September 2018,Scandinavian Actuarial Journal,03461238,20043,16512030,Journal,2018,8,,727-752,"In this paper, we study the family of renewal shot-noise processes. The Feynmann–Kac formula is obtained based on the piecewise deterministic Markov process theory and the martingale methodology. We then derive the Laplace transforms of the conditional moments and asymptotic moments of the processes. In general, by inverting the Laplace transforms, the asymptotic moments and the first conditional moments can be derived explicitly; however, other conditional moments may need to be estimated numerically. As an example, we develop a very efficient and general algorithm of Monte Carlo exact simulation for estimating the second conditional moments. The results can be then easily transformed to the counterparts of discounted aggregate claims for insurance applications, and we apply the first two conditional moments for the actuarial net premium calculation. Similarly, they can also be applied to credit risk and reliability modelling. Numerical examples with four distribution choices for interarrival times are provided to illustrate how the models can be implemented.",actuarial net premium | credit risk | discounted aggregate claims | martingale method | Monte Carlo exact simulation | piecewise-deterministic Markov processes | reliability | Renewal shot-noise processes,6,0,repositoryvor,Green,NSFC,71401147,National Natural Science Foundation of China
18,2-s2.0-85045247364,10.1002/asmb.2292,,,Estimation and status prediction in a discrete mover-stayer model with covariate effects on stayer's probability,ar,Article,Frydman H.,60108316;60016640,Leonard N. Stern School of Business;Szkola Glówna Handlowa w Warszawie,New York;Warsaw,United States;Poland,2,"Frydman, Halina;Matuszyk, Anna",6603144195;35727858700,60108316;60016640,2018-03-01,March/April 2018,Applied Stochastic Models in Business and Industry,15241904,25195,15264025,Journal,34,2,,196-205,"A discrete-time mover-stayer (MS) model is an extension of a discrete-time Markov chain, which assumes a simple form of population heterogeneity. The individuals in the population are either stayers, who never leave their initial states or movers who move according to a Markov chain. We, in turn, propose an extension of the MS model by specifying the stayer's probability as a logistic function of an individual's covariates. Such extension has been recently discussed for a continuous time MS but has not been considered before for a discrete time one. This extension allows for an in-sample classification of subjects who never left their initial states into stayers or movers. The parameters of an extended MS model are estimated using the expectation-maximization algorithm. A novel bootstrap procedure is proposed for out of sample validation of the in-sample classification. The bootstrap procedure is also applied to validate the in-sample classification with respect to a more general dichotomy than the MS one. The developed methods are illustrated with the data set on installment loans. But they can be applied more broadly in credit risk area, where prediction of creditworthiness of a loan borrower or lessee is of major interest.",bootstrap | covariate effects | credit risk | discrete-time mover-stayer model | EM algorithm | status classification,4,0,,,,undefined,
19,2-s2.0-85044328146,10.3906/mat-1608-29,,,Joint densities of hitting times for finite state Markov processes,ar,Article,Bielecki T.R.,60030208;60004305;60002873,Université d'Evry Val d'Essonne;Middle East Technical University (METU);Illinois Institute of Technology,Evry;Ankara;Chicago,France;Turkey;United States,3,"Bielecki, Tomasz R.;Jeanblanc, Monique;Sezer, Ali Devin",7003552101;8937137000;36935677700,60002873;60030208;60030208-60004305,2018-01-01,2018,Turkish Journal of Mathematics,13000098,27428,13036149,Journal,42,2,,586-608,"For a finite state Markov process X and a finite collection (Γk; k ∈ K) of subsets of its state space, let τk be the first time the process visits the set Γk . In general, X may enter some of the Γk at the same time and therefore the vector τ := (τk; k ∈K) may put nonzero mass over lower dimensional regions of ℝ+|K|; these regions are of the form Rs = (t ∈ ℝ+|K|: ti = tj ; i; j ∈ s(1)) ∩ ∩ |s|l=2ft: tm < ti = tj ; i; j ∈ s(l);m ∈ s(l -1)g where s is any ordered partition of the set K and s(j) denotes the jth subset of K in the partition s. When |s| < |K|, the density of the law of τ over these regions is said to be ""singular"" because it is with respect to the |s|-dimensional Lebesgue measure over the region Rs: We derive explicit/recursive and simple to compute formulas for these singular densities and their corresponding tail probabilities over all Rs as s ranges over ordered partitions of K. We give a numerical example and indicate the relevance of our results to credit risk modeling.",Credit risk modeling | Densities of singular parts | Finite state Markov processes | Generalized multivariate phase-type distributions | Multiple first hitting times | Simultaneous hitting times,0,1,repositoryam,Green,NSF,DMS–0604789,National Science Foundation
